arret_id,date,machine_id,shift_id,cause_id,duree_minutes,mois
AR00001,2024-01-01,M01,S1,CA04,16.3,2024-01
AR00002,2024-01-01,M01,S1,CA04,29.4,2024-01
AR00003,2024-01-01,M01,S2,CA06,219.0,2024-01
AR00004,2024-01-01,M01,S3,CA05,6.5,2024-01
AR00005,2024-01-01,M01,S3,CA05,10.9,2024-01
AR00006,2024-01-01,M01,S3,CA03,2.3,2024-01
AR00007,2024-01-01,M02,S1,CA01,68.2,2024-01
AR00008,2024-01-01,M02,S2,CA04,39.0,2024-01
AR00009,2024-01-01,M02,S2,CA03,39.3,2024-01
AR00010,2024-01-01,M02,S3,CA04,104.6,2024-01
AR00011,2024-01-01,M03,S1,CA08,82.1,2024-01
AR00012,2024-01-01,M03,S1,CA07,31.5,2024-01
AR00013,2024-01-01,M03,S1,CA04,41.5,2024-01
AR00014,2024-01-01,M03,S1,CA08,4.1,2024-01
AR00015,2024-01-01,M03,S2,CA03,65.8,2024-01
AR00016,2024-01-01,M03,S2,CA04,29.9,2024-01
AR00017,2024-01-01,M03,S2,CA06,34.1,2024-01
AR00018,2024-01-01,M03,S3,CA04,55.1,2024-01
AR00019,2024-01-01,M03,S3,CA04,131.4,2024-01
AR00020,2024-01-01,M03,S3,CA02,106.9,2024-01
AR00021,2024-01-01,M04,S1,CA03,13.2,2024-01
AR00022,2024-01-01,M04,S1,CA03,11.5,2024-01
AR00023,2024-01-01,M04,S1,CA08,8.3,2024-01
AR00024,2024-01-01,M04,S2,CA05,242.0,2024-01
AR00025,2024-01-01,M04,S3,CA04,32.0,2024-01
AR00026,2024-01-01,M04,S3,CA03,11.4,2024-01
AR00027,2024-01-01,M04,S3,CA08,10.2,2024-01
AR00028,2024-01-01,M05,S1,CA01,52.9,2024-01
AR00029,2024-01-01,M05,S1,CA08,41.4,2024-01
AR00030,2024-01-01,M05,S2,CA07,56.4,2024-01
AR00031,2024-01-01,M05,S2,CA01,38.7,2024-01
AR00032,2024-01-01,M05,S3,CA07,70.3,2024-01
AR00033,2024-01-01,M05,S3,CA03,4.6,2024-01
AR00034,2024-01-01,M05,S3,CA04,29.2,2024-01
AR00035,2024-01-02,M01,S1,CA01,43.3,2024-01
AR00036,2024-01-02,M01,S1,CA03,31.3,2024-01
AR00037,2024-01-02,M01,S2,CA01,117.8,2024-01
AR00038,2024-01-02,M01,S2,CA03,59.9,2024-01
