date,machine_id,shift_id,disponibilite,performance,qualite,oee,temps_requis_min,temps_marche_min,temps_arret_min,production_theorique,production_reelle,production_conforme,rebuts,mois,semaine,jour_semaine
2024-01-01,M01,S1,0.9048,0.9045,0.973,0.7963,480,434.3,45.7,960,868,844,24,2024-01,2024-W01,Monday
2024-01-01,M01,S2,0.5438,0.9006,0.9553,0.4679,480,261.0,219.0,960,864,825,39,2024-01,2024-W01,Monday
2024-01-01,M01,S3,0.959,0.9407,0.9506,0.8575,480,460.3,19.7,960,903,858,45,2024-01,2024-W01,Monday
2024-01-01,M02,S1,0.858,0.844,0.927,0.6713,480,411.8,68.2,800,675,625,50,2024-01,2024-W01,Monday
2024-01-01,M02,S2,0.8369,0.7629,0.8917,0.5693,480,401.7,78.3,800,610,543,67,2024-01,2024-W01,Monday
2024-01-01,M02,S3,0.7806,0.8133,0.9488,0.6024,480,374.7,105.3,800,650,616,34,2024-01,2024-W01,Monday
2024-01-01,M03,S1,0.6683,0.7283,0.9628,0.4686,480,320.8,159.2,1600,1165,1121,44,2024-01,2024-W01,Monday
2024-01-01,M03,S2,0.7297,0.8349,0.8587,0.5231,480,350.2,129.8,1600,1335,1146,189,2024-01,2024-W01,Monday
2024-01-01,M03,S3,0.3888,0.838,0.8686,0.283,480,186.6,293.4,1600,1340,1163,177,2024-01,2024-W01,Monday
2024-01-01,M04,S1,0.9313,0.9356,0.9765,0.8508,480,447.0,33.0,640,598,583,15,2024-01,2024-W01,Monday
2024-01-01,M04,S2,0.4958,0.99,0.9798,0.481,480,238.0,242.0,640,633,620,13,2024-01,2024-W01,Monday
2024-01-01,M04,S3,0.8883,0.9697,0.9653,0.8315,480,426.4,53.6,640,620,598,22,2024-01,2024-W01,Monday
2024-01-01,M05,S1,0.8025,0.7959,0.8981,0.5737,480,385.2,94.8,1200,955,857,98,2024-01,2024-W01,Monday
2024-01-01,M05,S2,0.8018,0.9254,0.9341,0.6931,480,384.9,95.1,1200,1110,1036,74,2024-01,2024-W01,Monday
2024-01-01,M05,S3,0.7831,0.8755,0.8945,0.6133,480,375.9,104.1,1200,1050,939,111,2024-01,2024-W01,Monday
2024-01-02,M01,S1,0.8445,0.8921,0.9811,0.7392,480,405.4,74.6,960,856,839,17,2024-01,2024-W01,Tuesday
2024-01-02,M01,S2,0.6297,0.84,0.9665,0.5112,480,302.3,177.7,960,806,778,28,2024-01,2024-W01,Tuesday
2024-01-02,M01,S3,0.8613,0.8834,0.9722,0.7397,480,413.4,66.6,960,848,824,24,2024-01,2024-W01,Tuesday
2024-01-02,M02,S1,0.8927,0.9227,0.9165,0.7549,480,428.5,51.5,800,738,676,62,2024-01,2024-W01,Tuesday
2024-01-02,M02,S2,0.7989,0.8891,0.9673,0.687,480,383.5,96.5,800,711,687,24,2024-01,2024-W01,Tuesday
2024-01-02,M02,S3,0.787,0.8601,0.909,0.6153,480,377.7,102.3,800,688,625,63,2024-01,2024-W01,Tuesday
2024-01-02,M03,S1,0.6429,0.889,0.9588,0.548,480,308.6,171.4,1600,1422,1363,59,2024-01,2024-W01,Tuesday
2024-01-02,M03,S2,0.744,0.9028,0.923,0.62,480,357.1,122.9,1600,1444,1332,112,2024-01,2024-W01,Tuesday
2024-01-02,M03,S3,0.6925,0.8565,0.9654,0.5726,480,332.4,147.6,1600,1370,1322,48,2024-01,2024-W01,Tuesday
2024-01-02,M04,S1,0.9194,0.9881,0.9486,0.8617,480,441.3,38.7,640,632,599,33,2024-01,2024-W01,Tuesday
2024-01-02,M04,S2,0.9452,0.9526,0.9764,0.8791,480,453.7,26.3,640,609,594,15,2024-01,2024-W01,Tuesday
2024-01-02,M04,S3,0.9233,0.9028,0.9774,0.8147,480,443.2,36.8,640,577,563,14,2024-01,2024-W01,Tuesday
2024-01-02,M05,S1,0.8119,0.9615,0.9176,0.7163,480,389.7,90.3,1200,1153,1057,96,2024-01,2024-W01,Tuesday
2024-01-02,M05,S2,0.742,0.8664,0.952,0.612,480,356.2,123.8,1200,1039,989,50,2024-01,2024-W01,Tuesday
2024-01-02,M05,S3,0.8102,0.8651,0.9423,0.6605,480,388.9,91.1,1200,1038,978,60,2024-01,2024-W01,Tuesday
2024-01-03,M01,S1,0.8859,0.9498,0.946,0.7959,480,425.2,54.8,960,911,861,50,2024-01,2024-W01,Wednesday
2024-01-03,M01,S2,0.8646,0.8953,0.9307,0.7205,480,415.0,65.0,960,859,799,60,2024-01,2024-W01,Wednesday
2024-01-03,M01,S3,0.8958,0.9215,0.9601,0.7926,480,430.0,50.0,960,884,848,36,2024-01,2024-W01,Wednesday
2024-01-03,M02,S1,0.8046,0.7918,0.9282,0.5913,480,386.2,93.8,800,633,587,46,2024-01,2024-W01,Wednesday
2024-01-03,M02,S2,0.797,0.8261,0.9355,0.616,480,382.6,97.4,800,660,617,43,2024-01,2024-W01,Wednesday
2024-01-03,M02,S3,0.8493,0.9767,0.9449,0.7838,480,407.7,72.3,800,781,737,44,2024-01,2024-W01,Wednesday
2024-01-03,M03,S1,0.7742,0.8257,0.8409,0.5376,480,371.6,108.4,1600,1321,1110,211,2024-01,2024-W01,Wednesday
2024-01-03,M03,S2,0.7486,0.8354,0.9987,0.6246,480,359.4,120.6,1600,1336,1334,2,2024-01,2024-W01,Wednesday
2024-01-03,M03,S3,0.7337,0.8527,0.9088,0.5686,480,352.2,127.8,1600,1364,1239,125,2024-01,2024-W01,Wednesday
2024-01-03,M04,S1,0.886,0.9785,0.989,0.8574,480,425.3,54.7,640,626,619,7,2024-01,2024-W01,Wednesday
2024-01-03,M04,S2,0.9448,0.9292,0.9968,0.8751,480,453.5,26.5,640,594,592,2,2024-01,2024-W01,Wednesday
2024-01-03,M04,S3,0.879,0.9651,0.999,0.8475,480,421.9,58.1,640,617,616,1,2024-01,2024-W01,Wednesday
2024-01-03,M05,S1,0.7316,0.8639,0.9324,0.5893,480,351.2,128.8,1200,1036,965,71,2024-01,2024-W01,Wednesday
2024-01-03,M05,S2,0.7608,0.8166,0.9316,0.5788,480,365.2,114.8,1200,979,912,67,2024-01,2024-W01,Wednesday
2024-01-03,M05,S3,0.7273,0.9138,0.9079,0.6034,480,349.1,130.9,1200,1096,995,101,2024-01,2024-W01,Wednesday
2024-01-04,M01,S1,0.959,0.8802,0.9536,0.805,480,460.3,19.7,960,845,805,40,2024-01,2024-W01,Thursday
2024-01-04,M01,S2,0.9222,0.8623,0.9645,0.7671,480,442.7,37.3,960,827,797,30,2024-01,2024-W01,Thursday
2024-01-04,M01,S3,0.9469,0.8472,0.9637,0.7731,480,454.5,25.5,960,813,783,30,2024-01,2024-W01,Thursday
2024-01-04,M02,S1,0.8397,0.9153,0.9054,0.6959,480,403.1,76.9,800,732,662,70,2024-01,2024-W01,Thursday
2024-01-04,M02,S2,0.7291,0.9008,0.9483,0.6228,480,350.0,130.0,800,720,682,38,2024-01,2024-W01,Thursday
2024-01-04,M02,S3,0.8391,0.8909,0.921,0.6885,480,402.8,77.2,800,712,655,57,2024-01,2024-W01,Thursday
2024-01-04,M03,S1,0.7725,0.8526,0.8843,0.5824,480,370.8,109.2,1600,1364,1206,158,2024-01,2024-W01,Thursday
2024-01-04,M03,S2,0.9195,0.8657,0.8671,0.6902,480,441.3,38.7,1600,1385,1200,185,2024-01,2024-W01,Thursday
2024-01-04,M03,S3,0.8106,0.7614,0.9383,0.5791,480,389.1,90.9,1600,1218,1142,76,2024-01,2024-W01,Thursday
2024-01-04,M04,S1,0.9563,0.9319,0.9916,0.8836,480,459.0,21.0,640,596,590,6,2024-01,2024-W01,Thursday
2024-01-04,M04,S2,0.9339,0.9713,0.999,0.9062,480,448.3,31.7,640,621,620,1,2024-01,2024-W01,Thursday
2024-01-04,M04,S3,0.9142,0.9335,0.9693,0.8272,480,438.8,41.2,640,597,578,19,2024-01,2024-W01,Thursday
2024-01-04,M05,S1,0.7426,0.8878,0.9382,0.6186,480,356.4,123.6,1200,1065,999,66,2024-01,2024-W01,Thursday
2024-01-04,M05,S2,0.8082,0.9313,0.9303,0.7001,480,387.9,92.1,1200,1117,1039,78,2024-01,2024-W01,Thursday
2024-01-04,M05,S3,0.8788,0.8788,0.9953,0.7687,480,421.8,58.2,1200,1054,1049,5,2024-01,2024-W01,Thursday
2024-01-05,M01,S1,0.9133,0.8778,0.9386,0.7525,480,438.4,41.6,960,842,790,52,2024-01,2024-W01,Friday
2024-01-05,M01,S2,0.9062,0.9031,0.9743,0.7974,480,435.0,45.0,960,867,844,23,2024-01,2024-W01,Friday
2024-01-05,M01,S3,0.9057,0.9092,0.9431,0.7766,480,434.7,45.3,960,872,822,50,2024-01,2024-W01,Friday
2024-01-05,M02,S1,0.716,0.8471,0.964,0.5847,480,343.7,136.3,800,677,652,25,2024-01,2024-W01,Friday
